business_name,category,web_status,lead_tag,rating,reviews_count,phone,website,suburb,address,google_maps_url,google_search_url
Goddess of Nails & Beauty,Nail salon,none,Hot — no website,4.8,3772,+61 3 8609 8111,,Melbourne,"Store 305A/287 Lonsdale St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Goddess%20of%20Nails%20%26%20Beauty&query_place_id=ChIJT4nmiMpC1moRrjkKFaQWb5k,https://www.google.com/search?q=Goddess+of+Nails+%26+Beauty
Envogue Nails,Nail salon,none,Hot — no website,4.9,2510,+61 3 9088 8855,,Melbourne,"Level 2/287 Lonsdale St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Envogue%20Nails&query_place_id=ChIJTw79_4hD1moRgtGdED0uSa0,https://www.google.com/search?q=Envogue+Nails
Khao Man Gai Restaurant,Thai restaurant,social_only,"Hot — no website, strong social",4.7,2185,+61 3 9600 0640,https://www.instagram.com/khaomangaimelbourne/,Melbourne,"Shop A&B/389 Lonsdale St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Khao%20Man%20Gai%20Restaurant&query_place_id=ChIJa1ZZaOFd1moRkMNUtDcBMfY,https://www.google.com/search?q=Khao+Man+Gai+Restaurant
Don't Tell Mama Shh Korean Restaurant,Korean restaurant,none,Hot — no website,4.6,2028,+61 3 9848 2268,,Doncaster,"751-753 Doncaster Rd, Doncaster VIC 3108, Australia",https://www.google.com/maps/search/?api=1&query=Don't%20Tell%20Mama%20Shh%20Korean%20Restaurant&query_place_id=ChIJTUfQMGNH1moRHF5rcQzLtEA,https://www.google.com/search?q=Don%27t+Tell+Mama+Shh+Korean+Restaurant
Lavish Barbers,Barber shop,social_only,"Hot — no website, strong social",4.8,1493,+61 3 9995 0437,https://www.instagram.com/lavish.barberss,Melbourne,"60 La Trobe St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Lavish%20Barbers&query_place_id=ChIJPUNh-o5D1moR-rgNv0M_zew,https://www.google.com/search?q=Lavish+Barbers
Patogh Persian Restaurant Dandenong,Persian restaurant,none,Hot — no website,4.5,1334,+61 3 8753 8393,,Dandenong,"337 Lonsdale St, Dandenong VIC 3175, Australia",https://www.google.com/maps/search/?api=1&query=Patogh%20Persian%20Restaurant%20Dandenong&query_place_id=ChIJl7DCNXgV1moRGAYZVKrfevI,https://www.google.com/search?q=Patogh+Persian+Restaurant+Dandenong
Kitchen Republik,Taiwanese restaurant,social_only,"Hot — no website, strong social",4.1,1252,+61 3 9898 6669,https://m.facebook.com/kitchenrepublik/,Box Hill,"Shop MM2/1 Main St, Box Hill VIC 3128, Australia",https://www.google.com/maps/search/?api=1&query=Kitchen%20Republik&query_place_id=ChIJFdPOkbBA1moRf2gzAFhTN0A,https://www.google.com/search?q=Kitchen+Republik
Little Indo Town Epping Victoria,Restaurant,none,Hot — no website,4.8,1223,+61 435 156 888,,Epping,"571 High St, Epping VIC 3076, Australia",https://www.google.com/maps/search/?api=1&query=Little%20Indo%20Town%20Epping%20Victoria&query_place_id=ChIJMwXnlI1P1moRXYPof21ZJo0,https://www.google.com/search?q=Little+Indo+Town+Epping+Victoria
YOON'S GRILL,Korean restaurant,social_only,"Hot — no website, strong social",4.7,1118,+61 478 706 606,https://www.instagram.com/yoonsgrilled/?next=%2F,Springvale,"2/310 Springvale Rd, Springvale VIC 3171, Australia",https://www.google.com/maps/search/?api=1&query=YOON'S%20GRILL&query_place_id=ChIJW_35QZ0V1moRT435oWl4fHo,https://www.google.com/search?q=YOON%27S+GRILL
Tanyu Lab The Glen 探鱼烤鱼墨尔本The Glen店,Restaurant,none,Hot — no website,4.9,971,+61 474 103 304,,Glen Waverley,"The Glen Shopping Centre, Shop G-014/235 Springvale Rd, Glen Waverley VIC 3150, Australia",https://www.google.com/maps/search/?api=1&query=Tanyu%20Lab%20The%20Glen%20%E6%8E%A2%E9%B1%BC%E7%83%A4%E9%B1%BC%E5%A2%A8%E5%B0%94%E6%9C%ACThe%20Glen%E5%BA%97&query_place_id=ChIJu9e2ZFw_1moRl7GnyB_dcL0,https://www.google.com/search?q=Tanyu+Lab+The+Glen+%E6%8E%A2%E9%B1%BC%E7%83%A4%E9%B1%BC%E5%A2%A8%E5%B0%94%E6%9C%ACThe+Glen%E5%BA%97
Neruda's Brunswick,South American restaurant,none,Hot — no website,4.7,894,+61 3 8383 2652,,Brunswick,"66 Breese St, Brunswick VIC 3056, Australia",https://www.google.com/maps/search/?api=1&query=Neruda's%20Brunswick&query_place_id=ChIJ6WSFVlND1moRNKF0vxoF_2k,https://www.google.com/search?q=Neruda%27s+Brunswick
Half Moon Cafe,Cafe,social_only,"Hot — no website, strong social",4.8,850,+61 3 9350 2949,https://m.facebook.com/pages/Half-Moon-Cafe/132364656812082,Coburg,"13 Victoria St, Coburg VIC 3058, Australia",https://www.google.com/maps/search/?api=1&query=Half%20Moon%20Cafe&query_place_id=ChIJYyqoCbRE1moRLcW0mzpIKxo,https://www.google.com/search?q=Half+Moon+Cafe
Dumpling King,Chinese restaurant,social_only,"Hot — no website, strong social",4.3,783,+61 3 9890 3719,https://linktr.ee/dumplingking_1996,Box Hill,"572 Station St, Box Hill VIC 3128, Australia",https://www.google.com/maps/search/?api=1&query=Dumpling%20King&query_place_id=ChIJ8fkagbBA1moRSTTlrRhSumE,https://www.google.com/search?q=Dumpling+King
Nisa's Cafe Bar & Restaurant (Nisa’s Thai Street Food),Thai restaurant,none,Hot — no website,4.6,677,+61 466 894 683,,Melbourne,"491 Swanston St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Nisa's%20Cafe%20Bar%20%26%20Restaurant%20(Nisa%E2%80%99s%20Thai%20Street%20Food)&query_place_id=ChIJj4m55RZD1moR9hRun-8v1WU,https://www.google.com/search?q=Nisa%27s+Cafe+Bar+%26+Restaurant+%28Nisa%E2%80%99s+Thai+Street+Food%29
PAPA'S Korean Chicken Restaurant,Korean restaurant,none,Hot — no website,4.8,645,+61 3 8782 4262,,Clayton,"172 Clayton Rd, Clayton VIC 3168, Australia",https://www.google.com/maps/search/?api=1&query=PAPA'S%20Korean%20Chicken%20Restaurant&query_place_id=ChIJaX5VDGdr1moR44QMrS5ifrU,https://www.google.com/search?q=PAPA%27S+Korean+Chicken+Restaurant
Hair Guy Barbershop Melbourne,Hairdresser,social_only,"Hot — no website, strong social",4.9,555,,https://www.instagram.com/hairguyaus/?hl=en,Melbourne,"1/367 Flinders St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Hair%20Guy%20Barbershop%20Melbourne&query_place_id=ChIJpxsEJ7NC1moRW5gYFRuTXCU,https://www.google.com/search?q=Hair+Guy+Barbershop+Melbourne
K-Grill Korean BBQ & Bar,Korean barbecue restaurant,none,Hot — no website,4.8,499,+61 425 119 840,,Footscray,"45 Leeds St, Footscray VIC 3011, Australia",https://www.google.com/maps/search/?api=1&query=K-Grill%20Korean%20BBQ%20%26%20Bar&query_place_id=ChIJLXaP_Nxd1moRMN0bPBrUBuo,https://www.google.com/search?q=K-Grill+Korean+BBQ+%26+Bar
Pocha Pocha Doncaster,Korean restaurant,social_only,"Hot — no website, strong social",4.1,419,+61 3 9848 1182,https://m.facebook.com/pochapochamelbourne,Doncaster,"Doncaster Dining, 619 Doncaster Rd, Doncaster VIC 3108, Australia",https://www.google.com/maps/search/?api=1&query=Pocha%20Pocha%20Doncaster&query_place_id=ChIJS06spodH1moR7u_aQY8V3vc,https://www.google.com/search?q=Pocha+Pocha+Doncaster
Hanoi Lotus,Vietnamese restaurant,none,Hot — no website,4.5,403,+61 3 9383 0121,,Coburg,"472 Sydney Rd, Coburg VIC 3058, Australia",https://www.google.com/maps/search/?api=1&query=Hanoi%20Lotus&query_place_id=ChIJ7asWmS1F1moRk-XRetscUoo,https://www.google.com/search?q=Hanoi+Lotus
万里金汤 Golden Noodle House Point Cook,Restaurant,none,Hot — no website,4.7,383,+61 438 852 828,,Point Cook,"129A Murnong St, Point Cook VIC 3030, Australia",https://www.google.com/maps/search/?api=1&query=%E4%B8%87%E9%87%8C%E9%87%91%E6%B1%A4%20Golden%20Noodle%20House%20Point%20Cook&query_place_id=ChIJpalYZZiJ1moRFck0xfN4esA,https://www.google.com/search?q=%E4%B8%87%E9%87%8C%E9%87%91%E6%B1%A4+Golden+Noodle+House+Point+Cook
Chennai Express,Restaurant,none,Hot — no website,4.8,352,+61 404 152 222,,Clayton,"1924 Princes Hwy, Clayton VIC 3168, Australia",https://www.google.com/maps/search/?api=1&query=Chennai%20Express&query_place_id=ChIJO-cYGS8V1moRdy3pN13JvWs,https://www.google.com/search?q=Chennai+Express
